slot,review_issue,review_issue_url,related_issues
accession_id,5,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/5,
accession_id_ref_db,6,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/6,
accessRights,342,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/342,4
adapter_forward,7,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/7,
adapter_reverse,8,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/8,
alt,9,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/9,
amp_vis_method,10,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/10,
ampliconSize,11,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/11,
amplificationReactionVolume,12,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/12,
annealingTemp,13,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/13,
assay_name,14,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/14,
assay_type,15,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/15,
assay_validation,16,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/16,
associated_resource,18,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/18,
associatedSequences,17,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/17,
automaticBaselineValue,19,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/19,
automaticThresholdQuantificationCycle,20,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/20,
barcoding_pcr_appr,21,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/21,
baselineValue,22,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/22,
bibliographicCitation,23,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/23,
bioinfo_method_additional,24,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/24,
biological_rep,25,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/25,
biological_rep_relation,26,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/26,
block_ref,27,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/27,
block_seq,28,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/28,
block_taxa,29,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/29,
checkls_ver,30,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/30,
checksum_filename,31,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/31,
checksum_filename2,32,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/32,
checksum_method,33,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/33,
chimera_check_method,34,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/34,
chimera_check_param,35,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/35,
chlorophyll,36,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/36,
class,37,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/37,
code_repo,38,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/38,
